channel_name,subscribers,last_video_date,last_video_views,country,url,email
England Rugby Game Development,13200,,,GB,https://www.youtube.com/channel/UCZ9bbrN-mWFQYsAR0NKIi8Q,
Andrzej Gieralt Creative,15900,,,CA,https://www.youtube.com/channel/UCL7tHebe19_Sz2RvTRCwznw,
Thomas Brush,428000,,,US,https://www.youtube.com/channel/UCuHVjteDW9tCb8QqMrtGvwQ,
Artindi,68800,,,US,https://www.youtube.com/channel/UC-X348Le6FmIfc9zxH4KYNA,
Acerola,295000,,,US,https://www.youtube.com/channel/UCQG40havu4kNpB4pxUDQhYQ,
Buvesa Game Development,20500,,,BE,https://www.youtube.com/channel/UCQaeCs2hL2I7EK88fOZhWBw,
Game Development Center,26900,,,NL,https://www.youtube.com/channel/UClseGZiVmeHamsjYmpbiAmQ,
freeCodeCamp.org,11300000,,,US,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,
Mono Vector,52100,,,IN,https://www.youtube.com/channel/UCXZopj3wtaJ2BgifVvCSJsw,
Stylized Station,502000,,,CA,https://www.youtube.com/channel/UC7cmH--tFhYduIshTKzQUJQ,
Isto Inc.,170000,,,CA,https://www.youtube.com/channel/UCgpGbh7d0X3-RBVYC4MQEEw,
Charger Games,102000,,,IN,https://www.youtube.com/channel/UChvLQbvpw2pfODgOmdS4ZSQ,
Pirate Software,2050000,,,US,https://www.youtube.com/channel/UCMnULQ6F6kLDAHxofDWIbrw,
Devslopes,352000,,,US,https://www.youtube.com/channel/UClLXKYEEM8OBBx85DOa6-cg,
Useless Game Dev,47500,,,,https://www.youtube.com/channel/UCMX1A8WPVQtOTZmanT8YseA,
Andrew Chambers,13100,,,CA,https://www.youtube.com/channel/UCozGpsO6GW319gEtMBM3USg,
Vedinad,229000,,,NO,https://www.youtube.com/channel/UCm660vO2lLqC3DJfL_pjDnw,
iHeartGameDev,89300,,,US,https://www.youtube.com/channel/UC9uqO0ei_zOHotEWfEj72mw,
Resonant Arc,160000,,,US,https://www.youtube.com/channel/UCFzWAEPDGiY34bGpwM_DWmA,
Garett,708000,,,,https://www.youtube.com/channel/UCCQi3X-PJGmd6DrPN9Rb6iw,
Giedzilla,66100,,,LT,https://www.youtube.com/channel/UCSgRS__nMStoaXtWlKKfLDw,
Goodgis,253000,,,US,https://www.youtube.com/channel/UCdXUwmzmhitTRqtPLazyetg,
Watt,94300,,,,https://www.youtube.com/channel/UCC9Rie0-VQAtnEeXhurYAeg,
GameDev.tv,55300,,,GB,https://www.youtube.com/channel/UC2CRYvS0FWRkTpCU3l4j8Mg,
Flow Studio,319000,,,AU,https://www.youtube.com/channel/UCeaSgd_wuEWpqINS9nLfBxQ,
SimTek Game Development,152000,,,US,https://www.youtube.com/channel/UC0WH048emp1tAVI5LpcJxmg,
SonderingEmily,72800,,,US,https://www.youtube.com/channel/UCtyrZ2RsGloiJBiK8lFLIvg,
Game Maker's Toolkit,1690000,,,GB,https://www.youtube.com/channel/UCqJ-Xo29CKyLTjn6z2XwYAw,
NVIDIA Game Developer,21200,,,,https://www.youtube.com/channel/UCASOkSclENSWAyIovnY8Wdw,
Blackthornprod,606000,,,FR,https://www.youtube.com/channel/UC9Z1XWw1kmnvOOFsj6Bzy2g,
Juniper Dev,263000,,,US,https://www.youtube.com/channel/UChzRJQ-MbpcIxFT5YLW1R9w,
DevDuck,176000,,,US,https://www.youtube.com/channel/UCKCTmact-90hXpV2ns8GSsA,
Masahiro Sakurai on Creating Games,662000,,,JP,https://www.youtube.com/channel/UCv1DvRY5PyHHt3KN9ghunuw,
Timothy Cain,193000,,,US,https://www.youtube.com/channel/UCTAfm-YD2M9xzvbYvRc5ttA,
BadGameDev,226000,,,AU,https://www.youtube.com/channel/UCKSbq7Xq8UWeWx4lv7MdG2A,
Inbound Shovel,166000,,,US,https://www.youtube.com/channel/UCdYwjLVP-98bptdlQFO_5zQ,
Game Dev Guide,119000,,,GB,https://www.youtube.com/channel/UCR35rzd4LLomtQout93gi0w,
Games Of Vaibhav,450000,,,IN,https://www.youtube.com/channel/UCSh-zF-LcAHiGUITBtl7c2Q,
Game Development Tutorials,6410,,,IN,https://www.youtube.com/channel/UCmFvgExKRTn3BN4NiVbQE6g,
Microsoft Game Dev,13100,,,US,https://www.youtube.com/channel/UCaCZHrQg_-qPrYIVsTFuUHg,
Rarebyte,5620,,,,https://www.youtube.com/channel/UCW9X0qkWMQirWPVGzRXuxRw,
Lincoln Margison - Game Development,11000,,,,https://www.youtube.com/channel/UCEXsXkhV_ZXh19se-zof6Ug,
GDC Festival of Gaming,548000,,,US,https://www.youtube.com/channel/UC0JB7TSe49lg56u6qH8y_MQ,
Slightly Esoteric Game Development,6450,,,AU,https://www.youtube.com/channel/UCwZsJGl1d8LUwAy5wEoz0ZQ,
Dani,3580000,,,NO,https://www.youtube.com/channel/UCIabPXjvT5BVTxRDPCBBOOQ,
Dave / GameDevelopment,42800,,,US,https://www.youtube.com/channel/UCIWlCE2kt0RXCJLRp8HjhiQ,
ZeroCool - Game Development,12500,,,IN,https://www.youtube.com/channel/UCe1Sp8SYrHUlXjhPCtbY2ew,
Brackeys,1910000,,,DK,https://www.youtube.com/channel/UCYbK_tjZ2OrIZFBvU6CCMiA,
David Wehle,193000,,,US,https://www.youtube.com/channel/UCKP-9R75QFQX-5Au3HyfjzA,
